,Wavelength,Reflectivity
278,856.0,87.03244925316233
279,858.0,87.00157668820691
280,860.0,86.97130786616324
281,862.0,86.94163986080594
282,864.0,86.91256951242062
283,866.0,86.88409342780152
284,868.0,86.8562079802529
285,870.0,86.8289093095887
286,872.0,86.80219332213262
287,874.0,86.77605569071815
288,876.0,86.75049185468892
289,878.0,86.72549701989773
290,880.0,86.70106615870723
291,882.0,86.67719400998966
292,884.0,86.65387507912749
293,886.0,86.6311036380127
294,888.0,86.60887372504679
295,890.0,86.58717914514128
296,892.0,86.56601346971705
297,894.0,86.5453700367053
298,896.0,86.5252419505465
299,898.0,86.50562208219121
300,900.0,86.48650306909907
301,902.0,86.46787731524023
302,904.0,86.44973699109411
303,906.0,86.43207403365022
304,908.0,86.4148801464075
305,910.0,86.39814679937452
306,912.0,86.38186522907004
307,914.0,86.36602643852225
308,916.0,86.35062119726908
309,918.0,86.33564004135842
310,920.0,86.32107327334758
311,922.0,86.30691096230365
312,924.0,86.29314294380373
313,926.0,86.27975881993467
314,928.0,86.26674795929252
315,930.0,86.2540994969836
316,932.0,86.24180233462366
317,934.0,86.22984514033854
318,936.0,86.21821634876358
319,938.0,86.20690416104382
320,940.0,86.19589654483387
321,942.0,86.1851812342986
322,944.0,86.17474573011218
323,946.0,86.16457729945883
324,948.0,86.15466297603228
325,950.0,86.1449895600358
326,952.0,86.1355436181826
327,954.0,86.12631148369628
328,956.0,86.11727925630902
329,958.0,86.10843280226322
330,960.0,86.09975775431172
331,962.0,86.09123951171573
332,964.0,86.08286324024738
333,966.0,86.07461387218801
334,968.0,86.06647610632888
335,970.0,86.05843440797038
336,972.0,86.05047300892369
337,974.0,86.04257590750916
338,976.0,86.0347268685565
339,978.0,86.02690942340595
340,980.0,86.01910686990661
341,982.0,86.01130227241832
342,984.0,86.00347846180996
343,986.0,85.99561803546007
344,988.0,85.9877033572575
345,990.0,85.97971655760023
346,992.0,85.97163953339675
347,994.0,85.96345394806427
348,996.0,85.95514123153045
349,998.0,85.94668258023252
350,1000.0,85.93805895711736
351,1002.0,85.9292510916419
352,1004.0,85.92023947977242
353,1006.0,85.91100438398495
354,1008.0,85.90152583326552
355,1010.0,85.89178362310955
356,1012.0,85.88175731552289
357,1014.0,85.8714262390204
358,1016.0,85.86076948862666
359,1018.0,85.84976592587658
360,1020.0,85.83839417881444
361,1022.0,85.82663264199441
362,1024.0,85.81445947648
363,1026.0,85.80185260984476
364,1028.0,85.788789736172
365,1030.0,85.77524831605513
366,1032.0,85.76120557659675
367,1034.0,85.74663851140875
368,1036.0,85.73152388061388
369,1038.0,85.71583821084403
370,1040.0,85.69955779524095
371,1042.0,85.68265869345605
372,1044.0,85.66511673165029
373,1046.0,85.64690750249466
374,1048.0,85.62800636516972
375,1050.0,85.60838844536642
376,1052.0,85.58802863528437
377,1054.0,85.56690159363357
378,1056.0,85.54498174563322
379,1058.0,85.52224328301308
380,1060.0,85.49866016401239
381,1062.0,85.4742061133795
382,1064.0,85.44885462237308
383,1066.0,85.42257894876172
384,1068.0,85.39535211682298
385,1070.0,85.36714691734475
386,1072.0,85.33793590762505
387,1074.0,85.30769141147024
388,1076.0,85.27638551919765
389,1078.0,85.24399008763424
390,1080.0,85.21047674011629
391,1082.0,85.17581686649002
392,1084.0,85.13998162311105
393,1086.0,85.10294193284513
394,1088.0,85.06466848506801
395,1090.0,85.0251317356646
396,1092.0,84.98430190702969
397,1094.0,84.94214898806788
398,1096.0,84.89864273419336
399,1098.0,84.85375266733077
400,1100.0,84.80744807591326
